comment,sentiment
"Video için teşekkürler, faydalı bilgiler var.","olumlu"
"Yani evet, bir şeyler anlatılmış işte.","notr"
"Bu kadarını ben de biliyordum açıkçası.","olumsuz"
"Helal olsun valla, tam aradığım şeydi.","olumlu"
"Biraz daha açıklayıcı olsaydı fena olmazdı sanki?","olumsuz"
"İzledim geçti gitti, eh işte.","notr"
"Mükemmel! Tek kelimeyle harika bir anlatım.","olumlu"
"Anlat anlat bitiremedin mübarek... Azıcık hızlanaydın.","olumsuz"
"Emeğe saygı tabi ama biraz yavaş geldi bana.","olumsuz"
"Sağ ol var ol, işime yaradı bu bilgi.","olumlu"
"Yani tamam da, biraz eksik sanki bu anlatılanlar.","olumsuz"
"Ses neden bu kadar boğuk geliyor acaba? Mikrofon sorunu mu var?","olumsuz"
"Elinize sağlık, yine de uğraşılmış.","notr"
"Gayet netti, teşekkürler.","olumlu"
"Biraz daha detaya girilebilirdi diye düşünüyorum.","olumsuz"
"İlk 5 dakikadan sonrasını sarmadı pek.","notr"
"Adam yapmış abi, tebrik etmek lazım.","olumlu"
"Bu yöntem pek çalışmıyor gibi ya, denedim olmadı.","olumsuz"
"Değişik bir bakış açısı... İlginç.","notr"
"Açıklamalar için teşekkürler, anlaşılır.","olumlu"
"Video bitmek bilmedi resmen, gereksiz uzun.","olumsuz"
"Farklı olmuş evet, alışılmışın dışında.","notr"
"Allah razı olsun kardeşim, sayende hallettim.","olumlu"
"Ne anlatıldığını pek anlayamadım açıkçası. Kafa karıştı biraz.","olumsuz"
"Anlatım fena değildi, akıcı sayılırdı.","olumlu"
"Bi deneyelim bakalım, sonuçları yazarım belki.","notr"
"Bu bilgiler biraz eski kalmış sanki ya? Günceli var mı bunun?","olumsuz"
"Paylaşımınız için minnettarım.","olumlu"
"Merak ediyordum bu konuyu, iyi denk geldi.","notr"
"Görüntü kalitesi neden 480p? Yıl olmuş kaç...","olumsuz"
"Hahaha iyi güldürdün akşam akşam :D","olumlu"
"Yani evet, başka kaynaklara da bakmakta fayda var tabi.","notr"
"Vaktimi geri ver :( Zaman israfıydı.","olumsuz"
"Kısa ve öz bilgiler, tam benlik.","olumlu"
"Benim beklentim daha farklıydı açıkçası.","olumsuz"
"Süre olarak fena değil, ne uzun ne kısa.","notr"
"Devamı gelsin lütfen, çok başarılı!","olumlu"
"Bu bilgiler hangi araştırmaya dayanıyor acaba? Kaynak?","olumsuz"
"Genel kültür olsun diye izledim.","notr"
"Vay be, iyi ki görmüşüm bu videoyu.","olumlu"
"Biraz monotondu sanki anlatım, uykum geldi.","olumsuz"
"Güzel özetlemiş arkadaş.","olumlu"
"Kamerayı biraz daha iyi ayarlasanız keşke... Odak kaçıyor.","olumsuz"
"Videonun konusu tam olarak neydi şimdi?","notr"
"Çok net ifadeler, tebrikler.","olumlu"
"Verdiğiniz kodlar patladı bende, çalışmıyor.","olumsuz"
"Bilgi için sağ olun.","notr"
"Bir iki örnek daha olsaydı tadından yenmezdi.","olumsuz"
"Müzik seçimi fena değilmiş.","olumlu"
"Biraz daha yavaş konuşsanız kelimeler anlaşılacak belki?","olumsuz"
"Takibe aldım kanalı.","olumlu"
"Bu bilgi 2 sene önce doğruydu belki ama şimdi değil.","olumsuz"
"Notlarımı aldım, teşekkürler.","olumlu"
"Teknik kısımlar biraz havada kalmış gibi.","olumsuz"
"Merak ettim bak şimdi, izleyelim.","notr"
"Bu kanalı kesinlikle öneriyorum arkadaşlar.","olumlu"
"İnternetim mi kötü video mu donuyor anlamadım gitti.","olumsuz"
"Yorumları okumak > videoyu izlemek :D","notr"
"Ne kadar emek verildiği ortada, helal olsun.","olumlu"
"Başlıkla içerik arasındaki bağlantıyı kuramadım ben?","olumsuz"
"Bakıp çıkıcam hemen.","notr"
"Bilmediğim şeyler öğrendim valla, sağ olasın.","olumlu"
"Aynı şeyi kaç kere söyledin be kardeşim...","olumsuz"
"Öylesine açtım, bakınıyorum.","notr"
"Enteresan bir fikirmiş, beğendim.","olumlu"
"Telefonla mı çektiniz? Çözünürlük yerlerde.","olumsuz"
"Bu konu hakkında hiç fikrim yoktu valla.","notr"
"İçerik doyurucu olmuş.","olumlu"
"Sunum tarzı bana hitap etmedi pek.","olumsuz"
"Konu biraz dağıldı sanki sonlara doğru?","notr"
"Tam da bu bilgiye ihtiyacım vardı, ilaç gibi geldi.","olumlu"
"Reklam koymak için mi çektiniz videoyu anlamadım ki?","olumsuz"
"Kapak resmi ilginç duruyor.","notr"
"Hem güldürdü hem düşündürdü ;)","olumlu"
"Pek profesyonel bir çalışma olmamış gibi geldi bana.","olumsuz"
"Bi sorum olacaktı aslında...","notr"
"Yardımcı oldu gerçekten, teşekkürler.","olumlu"
"Teoride güzel de pratikte nasıl olacak bu iş?","olumsuz"
"Arka plan müziği biraz fazla yüksek değil mi?","olumsuz"
"Bu serinin devamı şart!","olumlu"
"Kaynak belirtilseydi daha güvenilir olurdu sanki.","notr"
"Akıp gitti video valla, sıkılmadım.","olumlu"
"Videoda anlatılanlar nerede peki? Başlıkta kalmış.","olumsuz"
"Bi kısmını izledim sadece.","notr"
"Enerjiniz süper hocam, maşallah.","olumlu"
"Bu kadar karmaşık anlatmaya ne gerek vardı ki?","olumsuz"
"Tam ihtiyacım olan zamanda geldi bu video.","olumlu"
"O ekran kaydını okuyabilene aşk olsun.","olumsuz"
"Konsept fena değil gibi.","notr"
"İyi iş çıkarmışsınız, tebrikler.","olumlu"
"Bu bilgiler güncel mi emin misiniz?","olumsuz"
"Fikir veriyor en azından.","notr"
"Öğretici olduğu kesin.","olumlu"
"Tarzınız biraz sıkıcı geldi kusura bakmayın.","olumsuz"
"Aynı düşüncedeyim +1","olumlu"
"Kullanılan terimler biraz fazla teknik kaçmış.","olumsuz"
"Şöyle bir göz atıyorum sadece.","notr"
"İzlemeye değer bence.","olumlu"
"Anlatımda bariz hatalar var gibi geldi bana.","olumsuz"
"Konuyla ilgiliyim, bakalım ne anlatılmış.","notr"
"Sorularımın cevabını aldım, teşekkürler.","olumlu"
"Gereksiz detaylarla boğulmuş konu.","olumsuz"
"Henüz bir yorum yapmak için erken.","notr"
"Çok samimi ve doğal bir anlatımınız var.","olumlu"
"Video kalitesi üzdü :(","olumsuz"
"Objektif değerlendirme yapmaya çalıştım.","notr"
"Kaydettim, müsait olunca bakacağım.","olumlu"
"Ses tonu biraz monoton kalmış.","olumsuz"
"Genel kültür açısından izlenebilir belki.","notr"
"İlham verdiniz resmen, teşekkürler!","olumlu"
"Açıklamalar yeterli değil maalesef.","olumsuz"
"Piyasada daha iyi anlatanlar var bu konuyu.","olumsuz"
"Ellerinize sağlık, güzel çalışma.","olumlu"
"Yorumunuz mantıklı geldi.","notr"
"Tek kelimeyle bayıldım!","olumlu"
"Espri seviyesi yerlerde...","olumsuz"
