comment,sentiment
"Çok faydalı bir video teşekkürler","olumlu"
"Bomboş video, izlediğim dakikalara yazık oldu, çöpe attım resmen vaktimi!","olumsuz"
"Yani evet, bir şeyler anlatılmış işte.","notr"
"Harika anlatım, ağzınıza sağlık","olumlu"
"Anlattıklarından zerre bir şey anlamadım, bu kadar yeteneksizce anlatılmaz ki bir konu!","olumsuz"
"Videoyu izledim geçti gitti, eh işte.","notr"
"Tam aradığım konuydu, süper!","olumlu"
"Bu kadar yavaş konuşarak insanı uyutuyorsun resmen! Hızlan biraz!","olumsuz"
"Teşekkürler, işime yaradı","olumlu"
"Anlatılanlar o kadar eksik ki, hiçbir işe yaramaz bu haliyle.","olumsuz"
"Bu ses ne abi kulaklarım kanadı resmen, mikrofonu pazardan mı aldın?","olumsuz"
"Emeğiniz için teşekkür ederim","olumlu"
"Konu hakkında genel bir fikir veriyor","notr"
"Çok basit ve anlaşılır olmuş","olumlu"
"Detay falan hak getire... Yüzeysel geçilmiş tamamen.","olumsuz"
"İlk 5 dakikası bile çekilmedi, kapattım direkt.","olumsuz"
"Mükemmel bir çalışma, tebrikler","olumlu"
"Bu yöntem falan çalışmıyor, milleti kandırmayın boşuna! Denedim, fiyasko!","olumsuz"
"Değişik bir bakış açısı... İlginç.","notr"
"Açıklamalar gayet netti","olumlu"
"Video bitmek bilmedi, ömrümü yedi resmen. Kes şuraları!","olumsuz"
"Farklı olmuş evet, alışılmışın dışında.","notr"
"Allah razı olsun kardeşim, sayende hallettim.","olumlu"
"Beynim yandı anlamaya çalışmaktan, bu kadar karışık anlatılır mı bir şey?","olumsuz"
"Anlatım akıcıydı, beğendim","olumlu"
"Bi deneyelim bakalım, sonuçları yazarım belki","notr"
"Yıl olmuş kaç hala bu eski püskü bilgileri mi anlatıyorsun? Biraz güncelle kendini be!","olumsuz"
"Paylaşımınız için minnettarım","olumlu"
"Merak ediyordum bu konuyu, iyi denk geldi","notr"
"Görüntü 144p mi? Kör oldum izlerken, dalga mı geçiyorsunuz?","olumsuz"
"Hahaha iyi güldürdün akşam akşam :D","olumlu"
"Yani evet, başka kaynaklara da bakmakta fayda var tabi","notr"
"Haram olsun izlediğim dakikalar, tam bir zaman kaybı!","olumsuz"
"Kısa ve öz bilgiler, tam benlik","olumlu"
"Beklentimin yanından bile geçmedi, hayal kırıklığı.","olumsuz"
"Video süresi ideal olmuş","notr"
"Devamı gelsin lütfen, çok başarılı!","olumlu"
"Bu saçma bilgilerin kaynağı neresi acaba? Yoksa uyduruyor musun?","olumsuz"
"Genel kültür olsun diye izledim","notr"
"Vay be, iyi ki görmüşüm bu videoyu","olumlu"
"O kadar sıkıcı ki anlatamam, uyku ilacı gibi video.","olumsuz"
"Güzel özetlemiş arkadaş","olumlu"
"Kamerayı tutmayı bile becerememişsin, görüntü sürekli titriyor!","olumsuz"
"Videonun amacı neydi şimdi, ben onu anlamadım? Boş boş konuşulmuş.","olumsuz"
"Çok net ifadeler, tebrikler","olumlu"
"Verdiğin kodlar çöp, hiçbiri çalışmıyor, milleti uğraştırma!","olumsuz"
"Bilgi için sağ olun","notr"
"İki örnekle konu anlatılır mı? Dalga geçer gibi...","olumsuz"
"Müzik seçimi fena değilmiş","olumlu"
"Makinalı tüfek gibi konuşuyorsun, hiçbir şey anlaşılmıyor! Yavaşla!","olumsuz"
"Takibe aldım kanalı","olumlu"
